[09:13:52 INF] Usage: Total CPU 1.69% | App CPU 0.00% | App Heap 5.16MB
[09:13:53 INF] Usage: Total CPU 5.71% | App CPU 0.00% | App Heap 5.16MB
[09:13:54 INF] Usage: Total CPU 4.38% | App CPU 0.00% | App Heap 5.16MB
[09:13:55 INF] Usage: Total CPU 7.97% | App CPU 0.00% | App Heap 5.16MB
[09:13:56 INF] Usage: Total CPU 7.76% | App CPU 0.13% | App Heap 5.16MB
[09:13:57 INF] Usage: Total CPU 5.53% | App CPU 0.00% | App Heap 5.16MB
[09:13:58 INF] Usage: Total CPU 7.21% | App CPU 0.00% | App Heap 5.16MB
[09:13:59 INF] Usage: Total CPU 0.74% | App CPU 0.00% | App Heap 5.16MB
[09:14:00 INF] Usage: Total CPU 3.09% | App CPU 0.00% | App Heap 5.16MB
[09:14:01 INF] Usage: Total CPU 2.26% | App CPU 0.00% | App Heap 5.17MB
[09:14:02 INF] Usage: Total CPU 1.19% | App CPU 0.00% | App Heap 5.16MB
[09:14:03 INF] Usage: Total CPU 0.55% | App CPU 0.00% | App Heap 5.17MB
[09:14:04 INF] Usage: Total CPU 2.95% | App CPU 0.00% | App Heap 5.17MB
[09:14:05 INF] Usage: Total CPU 6.06% | App CPU 0.00% | App Heap 5.17MB
[09:14:06 INF] Usage: Total CPU 4.69% | App CPU 0.00% | App Heap 5.16MB
[09:14:07 INF] Usage: Total CPU 2.45% | App CPU 0.00% | App Heap 5.16MB
[09:14:08 INF] Usage: Total CPU 0.41% | App CPU 0.00% | App Heap 5.16MB
[09:14:09 INF] Usage: Total CPU 3.09% | App CPU 0.00% | App Heap 5.17MB
[09:14:10 INF] Usage: Total CPU 3.16% | App CPU 1.48% | App Heap 5.17MB
[09:14:11 INF] Usage: Total CPU 1.29% | App CPU 0.00% | App Heap 5.17MB
[09:14:12 INF] Usage: Total CPU 0.19% | App CPU 0.00% | App Heap 5.17MB
[09:14:13 INF] Usage: Total CPU 0.64% | App CPU 0.00% | App Heap 5.17MB
[09:14:14 INF] Usage: Total CPU 3.95% | App CPU 0.00% | App Heap 5.17MB
[09:14:15 INF] Usage: Total CPU 6.29% | App CPU 1.47% | App Heap 5.16MB
[09:14:16 INF] Usage: Total CPU 5.55% | App CPU 0.00% | App Heap 5.16MB
[09:14:17 INF] Usage: Total CPU 2.85% | App CPU 0.00% | App Heap 5.17MB
[09:14:18 INF] Usage: Total CPU 0.72% | App CPU 0.00% | App Heap 5.17MB
